date,total,dmg,tar_gz,sig,latest_json,delta_total,delta_dmg
2026-06-16,245,20,37,1,187,,
2026-06-17,245,20,37,1,187,0,0
2026-06-18,247,20,38,1,188,2,0
2026-06-19,250,20,39,1,190,3,0
2026-06-20,251,20,39,1,191,1,0
2026-06-21,251,20,39,1,191,0,0
2026-06-22,252,20,39,1,192,1,0
2026-06-23,252,20,39,1,192,0,0
2026-06-24,252,20,39,1,192,0,0
2026-06-25,252,20,39,1,192,0,0
2026-06-27,252,20,39,1,192,0,0
2026-06-28,252,20,39,1,192,0,0
2026-06-29,252,20,39,1,192,0,0
2026-07-01,252,20,39,1,192,0,0
2026-07-02,252,20,39,1,192,0,0
2026-07-03,252,20,39,1,192,0,0
2026-07-04,252,20,39,1,192,0,0
2026-07-05,252,20,39,1,192,0,0
2026-07-06,252,20,39,1,192,0,0
2026-07-07,252,20,39,1,192,0,0
2026-07-08,253,20,40,1,192,1,0
2026-07-09,253,20,40,1,192,0,0
2026-07-10,253,20,40,1,192,0,0
2026-07-11,253,20,40,1,192,0,0
2026-07-12,253,20,40,1,192,0,0
2026-07-13,253,20,40,1,192,0,0
2026-07-14,253,20,40,1,192,0,0
2026-07-15,254,21,40,1,192,1,1
2026-07-16,254,21,40,1,192,0,0
2026-07-17,254,21,40,1,192,0,0
2026-07-19,255,22,40,1,192,1,1
2026-07-20,255,22,40,1,192,0,0
2026-07-21,256,22,41,1,192,1,0
2026-07-22,256,22,41,1,192,0,0
2026-07-23,256,22,41,1,192,0,0
2026-07-24,256,22,41,1,192,0,0
2026-07-25,256,22,41,1,192,0,0
2026-07-26,256,22,41,1,192,0,0
2026-07-27,256,22,41,1,192,0,0
2026-07-28,256,22,41,1,192,0,0
2026-07-29,256,22,41,1,192,0,0
2026-07-30,257,22,41,1,193,1,0
2026-07-31,257,22,41,1,193,0,0
2026-08-01,257,22,41,1,193,0,0
2026-08-02,257,22,41,1,193,0,0
2026-08-03,257,22,41,1,193,0,0
2026-08-04,257,22,41,1,193,0,0
2026-08-05,257,22,41,1,193,0,0
2026-08-06,257,22,41,1,193,0,0
2026-08-07,257,22,41,1,193,0,0
2026-08-08,258,22,41,1,194,1,0
